Site,MonYr,Richness,p.EPT,HBI
Site A,1,5,0.56,2.5
Site A,2,7,0.51,4.4
Site A,3,4,0.46,9
Site A,4,10,0.42,5.5
Site A,5,4,0.55,3.5
Site A,6,6,0.47,3.3
Site A,7,3,0.53,5.1
Site A,8,6,0.49,3.4
Site B,1,7,0.21,4.3
Site B,2,1,0.2,7.4
Site B,3,2,0.16,3.4
Site B,4,2,0.19,4.3
Site B,5,1,0.19,7.9
Site B,6,3,0.16,6.1
Site B,7,4,0.21,4.7
Site B,8,3,0.16,5.6
Site C,1,15,0.64,3.3
Site C,2,10,0.63,2.6
Site C,3,7,0.58,3.8
Site C,4,10,0.58,2.8
Site C,5,15,0.51,9.5
Site C,6,8,0.65,2.1
Site C,7,6,0.63,3.3
Site C,8,9,0.57,4
Site D,1,4,0.76,7.5
Site D,2,5,0.74,7.1
Site D,3,3,0.78,9.5
Site D,4,2,0.81,8.3
Site D,5,10,0.83,9.6
Site D,6,2,0.74,9.3
Site D,7,2,0.81,8.4
Site D,8,6,0.81,7.3
